Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
2022-03-05,24,,,0.16,,11.8
2022-03-06,8,,,0.47,,16.1
2022-03-07,-2,14,,0.01,,15.7
2022-03-08,-6,,,0.00,,15.7
2022-03-09,,,,0.00,,15.7
2022-03-10,2,,,0.04,,15.4
2022-03-11,-7,,,0.00,,15.4
2022-03-12,-9,,,0.00,,15.4
2022-03-13,-2,21,,0.00,,15.4
2022-03-14,3,19,,0.00,,15.4
2022-03-15,5,22,,0.01,,15.4
2022-03-16,2,,,0.00,,15.4
2022-03-17,11,,,0.00,,15.4
2022-03-18,19,,,0.00,,15.0
2022-03-19,25,,,0.00,,14.6
2022-03-20,29,37,,0.00,,14.6
2022-03-21,29,31,26,0.13,,14.6
2022-03-22,29,34,24,0.04,,
2022-03-23,35,,,0.00,,15.7
2022-03-24,36,,,0.00,,15.0
2022-03-25,26,34,,0.01,,14.6
2022-03-26,18,,,0.00,,12.6
2022-03-27,27,35,17,0.00,,12.6
2022-03-28,30,,,0.16,,12.6
2022-03-29,22,,,0.00,,13.0
2022-03-30,31,,21,0.04,,13.4
2022-03-31,24,,,0.02,,13.0
2022-04-01,26,,,0.35,,13.0
2022-04-02,28,,,0.43,,16.9
2022-04-03,35,,28,0.19,,20.9
2022-04-04,44,,,0.02,,17.7
2022-04-05,34,,,0.03,,16.1
2022-04-06,33,43,,0.00,,13.8
2022-04-07,33,44,,0.01,,11.8
2022-04-08,35,46,,0.00,,11.4
2022-04-09,41,60,,0.04,,9.4
2022-04-10,41,53,,0.00,,6.3
2022-04-11,41,54,,0.00,,2.0
2022-04-12,43,54,,0.00,,0.8
2022-04-13,45,53,,0.01,,
2022-04-14,53,,,0.00,,
2022-04-15,47,,,0.07,,
2022-04-16,40,49,,0.04,,
2022-04-17,38,46,30,0.00,,
2022-04-18,41,,32,0.02,,
2022-04-19,43,51,,0.00,,
2022-04-20,45,57,37,0.09,,
2022-04-21,36,,,0.00,,
2022-04-22,35,50,,0.00,,
2022-04-23,39,52,,0.00,,
2022-04-24,45,62,,0.00,,
2022-04-25,48,,,0.00,,
2022-04-26,55,67,,0.00,,
2022-04-27,64,76,,0.03,,
2022-04-28,58,,,0.04,,
2022-04-29,40,49,,0.00,,
2022-04-30,40,51,,0.00,,
2022-05-01,45,,,0.00,,
2022-05-02,42,51,,0.00,,
2022-05-03,47,58,,0.00,,
2022-05-04,54,67,,0.00,,
2022-05-05,49,61,,0.02,,
2022-05-06,37,46,,0.67,,0.4
2022-05-07,46,60,,0.00,,
2022-05-08,52,68,,0.00,,
2022-05-09,57,70,,0.00,,
2022-05-10,61,,53,0.00,,
2022-05-11,51,,,0.20,,
2022-05-12,54,65,,0.01,,
2022-05-13,51,61,,0.12,,
2022-05-14,52,61,,0.08,,
2022-05-15,54,65,,0.08,,
2022-05-16,56,70,,0.00,,
2022-05-17,53,64,,0.00,,
2022-05-18,53,65,,0.05,,
2022-05-19,49,55,,0.10,,
2022-05-20,45,58,,0.12,,
2022-05-21,40,47,,0.55,,
2022-05-22,41,52,,0.35,,
2022-05-23,47,54,,0.04,,
2022-05-24,55,,45,0.04,,
2022-05-25,61,,,0.02,,
2022-05-26,55,62,,,,
2022-05-27,55,68,,0.00,,
2022-05-28,58,,,0.08,,
2022-05-29,60,,,0.03,,
2022-05-30,56,,,0.02,,
2022-05-31,52,,,0.24,,
2022-06-01,59,74,,0.00,,
2022-06-02,69,81,,0.00,,
2022-06-03,64,,,,,
2022-06-04,54,,,,,
2022-06-05,57,,,,,
2022-06-06,54,,,,,
2022-06-07,56,,,,,
2022-06-08,57,,,,,
2022-06-09,55,,,,,
2022-06-10,59,,,,,
2022-06-11,60,,,,,
2022-06-12,53,,,,,
2022-06-13,57,,,,,
2022-06-14,63,,,,,
2022-06-15,67,,,,,
2022-06-16,67,,,,,
2022-06-17,66,,,,,
2022-06-18,65,,,,,
2022-06-19,68,,,,,
2022-06-20,65,,,,,
2022-06-21,57,,,,,
2022-06-22,61,,,,,
2022-06-23,69,,,,,
2022-06-24,62,,,,,
2022-06-25,63,,,,,
2022-06-26,53,,,,,
2022-06-27,56,,,,,
2022-06-28,49,,,,,
2022-06-29,50,,,,,
2022-06-30,57,,,,,
2022-07-01,60,,,,,
2022-07-02,62,,,,,
2022-07-03,63,,,,,
2022-07-04,54,,,,,
2022-07-05,53,,,,,
2022-07-06,53,,,,,
2022-07-07,65,,,,,
2022-07-08,69,,,,,
2022-07-09,74,,,,,
2022-07-10,73,,,,,
2022-07-11,76,,,,,
2022-07-12,74,,,,,
2022-07-13,73,,,,,
2022-07-14,78,,,,,
2022-07-15,73,,,,,
2022-07-16,71,,,,,
2022-07-17,74,,,,,
2022-07-18,71,,,,,
2022-07-19,73,,,,,
2022-07-20,68,,,,,
2022-07-21,64,,,,,
2022-07-22,68,,,,,
2022-07-23,68,,,,,
2022-07-24,71,,,,,
2022-07-25,75,,,,,
2022-07-26,71,,,,,
2022-07-27,63,,,,,
2022-07-28,64,,,,,
2022-07-29,65,,,,,
2022-07-30,67,,,,,
2022-07-31,66,,,,,
2022-08-01,64,,,,,
2022-08-02,63,,,,,
2022-08-03,66,,,,,
2022-08-04,67,,,,,
2022-08-05,69,,,,,
2022-08-06,71,,,,,
2022-08-07,72,,,,,
2022-08-08,71,,,,,
2022-08-09,71,,,,,
2022-08-10,72,,,,,
2022-08-11,68,,,,,
2022-08-12,66,,,,,
2022-08-13,66,,,,,
2022-08-14,59,,,,,
2022-08-15,57,,,,,
2022-08-16,64,,,,,
2022-08-17,60,,,,,
2022-08-18,53,,,,,
2022-08-19,63,,,,,
2022-08-20,67,,,,,
2022-08-21,66,,,,,
2022-08-22,69,,,,,
2022-08-23,69,,,,,
2022-08-24,69,,,,,
2022-08-25,69,,,,,
2022-08-26,71,,,,,
2022-08-27,63,,,,,
2022-08-28,63,,,,,
2022-08-29,67,,,,,
2022-08-30,72,,,,,
2022-08-31,70,,,,,
2022-09-01,62,,,,,
2022-09-02,68,,,,,
2022-09-03,56,,,,,
2022-09-04,51,,,,,
2022-09-05,48,,,,,
2022-09-06,48,,,,,
2022-09-07,47,,,,,
2022-09-08,47,,,,,
2022-09-09,45,,,,,
2022-09-10,47,,,,,
2022-09-11,49,,,,,
2022-09-12,48,,,,,
2022-09-13,47,,,,,
2022-09-14,53,,,,,
2022-09-15,58,,,,,
2022-09-16,56,,,,,
2022-09-17,55,,,,,
2022-09-18,58,,,,,
2022-09-19,64,,,,,
2022-09-20,69,,,,,
2022-09-21,63,,,,,
2022-09-22,60,,,,,
2022-09-23,59,,,,,
2022-09-24,57,,,,,
2022-09-25,47,,,,,
2022-09-26,34,,,,,
2022-09-27,31,34,28,0.00,,2.8
2022-09-28,28,36,,0.00,,2.4
2022-09-29,29,,,0.00,,2.0
2022-09-30,33,,26,0.00,,0.8
2022-10-01,36,,,0.00,,
2022-10-02,44,54,,0.00,,
2022-10-03,52,58,43,0.03,,
2022-10-04,51,67,,0.00,,
2022-10-05,49,,,0.00,,
2022-10-06,48,,,0.04,,
2022-10-07,45,,,0.02,,
2022-10-08,45,,42,0.11,,
2022-10-09,47,,,0.00,,
2022-10-10,52,,,0.00,,
2022-10-11,50,,,0.00,,
2022-10-12,47,,,0.01,,
2022-10-13,49,57,,0.00,,
